strategy,parameter,name,filename,N,size,periodic,symmetry,heuristic,attempts,contradictions,successes,contradiction_rate,avg_observations
Fixed,1100,Lines,Lines_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,764.1
Fixed,1100,WalledDot,WalledDot_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,425.2
Fixed,1100,NotKnot,NotKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,497.6
Fixed,1100,Sand,Sand_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1351.6
Fixed,1100,Wrinkles,Wrinkles_N3_size120.png,3,120,True,8,MRV,100,0,100,0,4213.2
Fixed,1100,3Bricks,3Bricks_N3_size48.png,3,48,True,1,Entropy,100,0,100,0,987.5
Fixed,1100,Circle,Circle_N3_size90.png,3,90,True,1,MRV,100,0,100,0,7056.3
Fixed,1100,Circle,Circle_N4_size90.png,4,90,True,1,MRV,100,0,100,0,2647.5
Fixed,1100,Disk,Disk_N3_size90.png,3,90,True,1,MRV,100,0,100,0,8632
Fixed,1100,Disk,Disk_N3_size90.png,3,90,True,8,MRV,100,0,100,0,4251.4
Fixed,1100,Disk,Disk_N4_size90.png,4,90,True,8,MRV,100,0,100,0,1984.6
Fixed,1100,BrownFox,BrownFox_N4_size90.png,4,90,False,1,MRV,100,0,100,0,1150.2
Fixed,1200,Chess,Chess_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,1
Fixed,1200,Skyline,Skyline_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,636.7
Fixed,1200,Flowers,Flowers_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,695.2
Fixed,1200,Hogs,Hogs_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,699.2
Fixed,1200,Hogs,Hogs_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,2126.4
Fixed,1200,Knot,Knot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,891.3
Fixed,1200,LessRooms,LessRooms_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,845.4
Fixed,1200,Mountains,Mountains_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,456.4
Fixed,1200,Office,Office_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,703.4
Fixed,1200,Paths,Paths_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1116.8
Fixed,1200,Platformer,Platformer_N2_size48.png,2,48,True,2,Entropy,100,0,100,0,567.2
Fixed,1200,Platformer,Platformer_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,476.6
Fixed,1200,RedMaze,RedMaze_N2_size48.png,2,48,False,8,Entropy,100,0,100,0,634.4
Fixed,1200,Rooms,Rooms_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,588.7
Fixed,1200,Rule126,Rule126_N3_size48.png,3,48,False,2,Entropy,100,0,100,0,118
Fixed,1200,SimpleKnot,SimpleKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,774
Fixed,1200,SimpleMaze,SimpleMaze_N2_size48.png,2,48,False,8,Entropy,100,0,100,0,1238
Fixed,1200,SimpleWall,SimpleWall_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,307.2
Fixed,1200,SimpleWall,SimpleWall_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,365.1
Fixed,1200,SimpleWall,SimpleWall_N2_size48.png,2,48,True,2,Entropy,100,0,100,0,610.2
Fixed,1200,SimpleWall,SimpleWall_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,634
Fixed,1200,TrickKnot,TrickKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,634.3
Fixed,1200,Village,Village_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,542
Fixed,1200,Water,Water_N3_size48.png,3,48,True,1,Entropy,100,0,100,0,268.5
Fixed,1200,Cat,Cat_N3_size80.png,3,80,True,2,Entropy,100,0,100,0,2037.1
Fixed,1200,Cats,Cats_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,406
Fixed,1200,Skyline2,Skyline2_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,848.2
Fixed,1200,Angular,Angular_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,700.3
Fixed,1200,City,City_N3_size80.png,3,80,True,8,Entropy,100,0,100,0,430.6
Fixed,1200,ColoredCity,ColoredCity_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,214.7
Fixed,1200,Dungeon,Dungeon_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1269.3
Fixed,1200,Lake,Lake_N3_size60.png,3,60,True,8,Entropy,100,0,100,0,1597.5
Fixed,1200,Link,Link_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1012.5
Fixed,1200,Link2,Link2_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1743.6
Fixed,1200,Mazelike,Mazelike_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,694.6
Fixed,1200,Nested,Nested_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,110.3
Fixed,1200,MagicOffice,MagicOffice_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,916.1
Fixed,1200,Office2,Office2_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1285.2
Fixed,1200,Qud,Qud_N3_size80.png,3,80,True,8,Entropy,100,0,100,0,1985.1
Fixed,1200,RedDot,RedDot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,838
Fixed,1200,ScaledMaze,ScaledMaze_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,2134.6
Fixed,1200,Sewers,Sewers_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,833.7
Fixed,1200,Skew1,Skew1_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1130.5
Fixed,1200,Skew2,Skew2_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,792.4
Fixed,1200,SmileCity,SmileCity_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,244.4
Fixed,1200,Spirals,Spirals_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,705.3
Fixed,1200,Town,Town_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,522.2
Fixed,1200,Wall,Wall_N2_size48.png,2,48,False,1,Entropy,100,0,100,0,391.7
Fixed,1200,Wall,Wall_N3_size48.png,3,48,False,2,Entropy,100,0,100,0,343.5
Fixed,1200,Wall,Wall_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,306.2
Fixed,1200,Lines,Lines_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,764.1
Fixed,1200,WalledDot,WalledDot_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,425.2
Fixed,1200,NotKnot,NotKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,497.6
Fixed,1200,Sand,Sand_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1351.9
